ScheduleNumber	StartAge	StopAge	ScreenSwitchAge	TestApplied1	TestApplied2	IntervalSwitchAge1	IntervalSwitchAge2	IntervalSwitchAge3	Interval1	Interval2	Interval3	Interval4
1	25	25	NA	1	NA	NA	NA	NA	1	NA	NA	NA
2	26	26	NA	1	NA	NA	NA	NA	1	NA	NA	NA
3	27	27	NA	1	NA	NA	NA	NA	1	NA	NA	NA
4	28	28	NA	1	NA	NA	NA	NA	1	NA	NA	NA
5	29	29	NA	1	NA	NA	NA	NA	1	NA	NA	NA
6	30	30	NA	1	NA	NA	NA	NA	1	NA	NA	NA
7	31	31	NA	1	NA	NA	NA	NA	1	NA	NA	NA
8	32	32	NA	1	NA	NA	NA	NA	1	NA	NA	NA
9	33	33	NA	1	NA	NA	NA	NA	1	NA	NA	NA
10	34	34	NA	1	NA	NA	NA	NA	1	NA	NA	NA
11	35	35	NA	1	NA	NA	NA	NA	1	NA	NA	NA
12	36	36	NA	1	NA	NA	NA	NA	1	NA	NA	NA
13	37	37	NA	1	NA	NA	NA	NA	1	NA	NA	NA
14	38	38	NA	1	NA	NA	NA	NA	1	NA	NA	NA
15	39	39	NA	1	NA	NA	NA	NA	1	NA	NA	NA
16	40	40	NA	1	NA	NA	NA	NA	1	NA	NA	NA
17	41	41	NA	1	NA	NA	NA	NA	1	NA	NA	NA
18	42	42	NA	1	NA	NA	NA	NA	1	NA	NA	NA
19	43	43	NA	1	NA	NA	NA	NA	1	NA	NA	NA
20	44	44	NA	1	NA	NA	NA	NA	1	NA	NA	NA
21	45	45	NA	1	NA	NA	NA	NA	1	NA	NA	NA
22	46	46	NA	1	NA	NA	NA	NA	1	NA	NA	NA
23	47	47	NA	1	NA	NA	NA	NA	1	NA	NA	NA
24	48	48	NA	1	NA	NA	NA	NA	1	NA	NA	NA
25	49	49	NA	1	NA	NA	NA	NA	1	NA	NA	NA
26	50	50	NA	1	NA	NA	NA	NA	1	NA	NA	NA
27	51	51	NA	1	NA	NA	NA	NA	1	NA	NA	NA
28	52	52	NA	1	NA	NA	NA	NA	1	NA	NA	NA
29	53	53	NA	1	NA	NA	NA	NA	1	NA	NA	NA
30	54	54	NA	1	NA	NA	NA	NA	1	NA	NA	NA
31	55	55	NA	1	NA	NA	NA	NA	1	NA	NA	NA
32	56	56	NA	1	NA	NA	NA	NA	1	NA	NA	NA
33	57	57	NA	1	NA	NA	NA	NA	1	NA	NA	NA
34	58	58	NA	1	NA	NA	NA	NA	1	NA	NA	NA
35	59	59	NA	1	NA	NA	NA	NA	1	NA	NA	NA
36	60	60	NA	1	NA	NA	NA	NA	1	NA	NA	NA
37	61	61	NA	1	NA	NA	NA	NA	1	NA	NA	NA
38	62	62	NA	1	NA	NA	NA	NA	1	NA	NA	NA
39	63	63	NA	1	NA	NA	NA	NA	1	NA	NA	NA
40	64	64	NA	1	NA	NA	NA	NA	1	NA	NA	NA
41	65	65	NA	1	NA	NA	NA	NA	1	NA	NA	NA
42	66	66	NA	1	NA	NA	NA	NA	1	NA	NA	NA
43	67	67	NA	1	NA	NA	NA	NA	1	NA	NA	NA
44	68	68	NA	1	NA	NA	NA	NA	1	NA	NA	NA
45	69	69	NA	1	NA	NA	NA	NA	1	NA	NA	NA
46	70	70	NA	1	NA	NA	NA	NA	1	NA	NA	NA
47	71	71	NA	1	NA	NA	NA	NA	1	NA	NA	NA
48	72	72	NA	1	NA	NA	NA	NA	1	NA	NA	NA
49	73	73	NA	1	NA	NA	NA	NA	1	NA	NA	NA
50	74	74	NA	1	NA	NA	NA	NA	1	NA	NA	NA
51	75	75	NA	1	NA	NA	NA	NA	1	NA	NA	NA
52	76	76	NA	1	NA	NA	NA	NA	1	NA	NA	NA
53	77	77	NA	1	NA	NA	NA	NA	1	NA	NA	NA
54	78	78	NA	1	NA	NA	NA	NA	1	NA	NA	NA
55	79	79	NA	1	NA	NA	NA	NA	1	NA	NA	NA
56	80	80	NA	1	NA	NA	NA	NA	1	NA	NA	NA
57	81	81	NA	1	NA	NA	NA	NA	1	NA	NA	NA
58	82	82	NA	1	NA	NA	NA	NA	1	NA	NA	NA
59	83	83	NA	1	NA	NA	NA	NA	1	NA	NA	NA
60	84	84	NA	1	NA	NA	NA	NA	1	NA	NA	NA
61	85	85	NA	1	NA	NA	NA	NA	1	NA	NA	NA
62	86	86	NA	1	NA	NA	NA	NA	1	NA	NA	NA
63	87	87	NA	1	NA	NA	NA	NA	1	NA	NA	NA
64	88	88	NA	1	NA	NA	NA	NA	1	NA	NA	NA
65	89	89	NA	1	NA	NA	NA	NA	1	NA	NA	NA
66	90	90	NA	1	NA	NA	NA	NA	1	NA	NA	NA
67	91	91	NA	1	NA	NA	NA	NA	1	NA	NA	NA
68	92	92	NA	1	NA	NA	NA	NA	1	NA	NA	NA
69	93	93	NA	1	NA	NA	NA	NA	1	NA	NA	NA
70	94	94	NA	1	NA	NA	NA	NA	1	NA	NA	NA
71	95	95	NA	1	NA	NA	NA	NA	1	NA	NA	NA
72	96	96	NA	1	NA	NA	NA	NA	1	NA	NA	NA
73	97	97	NA	1	NA	NA	NA	NA	1	NA	NA	NA
74	98	98	NA	1	NA	NA	NA	NA	1	NA	NA	NA
75	99	99	NA	1	NA	NA	NA	NA	1	NA	NA	NA
76	100	100	NA	1	NA	NA	NA	NA	1	NA	NA	NA
77	25	50	NA	1	NA	NA	NA	NA	1	NA	NA	NA
78	25	50	NA	1	NA	NA	NA	NA	5	NA	NA	NA
79	25	55	NA	1	NA	NA	NA	NA	1	NA	NA	NA
80	25	55	NA	1	NA	NA	NA	NA	2	NA	NA	NA
81	25	55	NA	1	NA	NA	NA	NA	3	NA	NA	NA
82	25	55	NA	1	NA	NA	NA	NA	5	NA	NA	NA
83	25	55	NA	1	NA	NA	NA	NA	6	NA	NA	NA
84	25	55	NA	1	NA	NA	NA	NA	10	NA	NA	NA
85	25	60	NA	1	NA	NA	NA	NA	1	NA	NA	NA
86	25	60	NA	1	NA	NA	NA	NA	5	NA	NA	NA
87	25	60	NA	1	NA	NA	NA	NA	7	NA	NA	NA
88	25	65	NA	1	NA	NA	NA	NA	1	NA	NA	NA
89	25	65	NA	1	NA	NA	NA	NA	2	NA	NA	NA
